,signal,entry_time,exit_time,entry_price,exit_price,sl,tp,lot_size,result,pnl,balance_after
26,BUY,2024-07-03 08:00:00,2024-07-03 17:00:00,2336.3,2362.3,2323.3,2362.3,0.07,win,178.33,9119.48
27,BUY,2024-07-03 14:00:00,2024-07-05 15:00:00,2348.38,2374.38,2335.38,2374.38,0.07,win,181.9,9301.38
28,BUY,2024-07-04 09:00:00,2024-07-11 15:00:00,2359.33,2407.23,2335.38,2407.23,0.04,win,185.75,9487.13
29,BUY,2024-07-09 15:00:00,2024-07-11 18:00:00,2363.18,2418.78,2335.38,2418.78,0.03,win,189.53,9676.66
30,BUY,2024-07-10 15:00:00,2024-07-17 03:00:00,2380.78,2471.58,2335.38,2471.58,0.02,win,193.39,9870.05
31,BUY,2024-07-11 14:00:00,2024-07-17 04:00:00,2383.77,2480.55,2335.38,2480.55,0.02,win,197.26,10067.31
32,SELL,2024-07-25 13:00:00,2024-07-25 20:00:00,2378.21,2354.43,2390.1,2354.43,0.08,win,200.79,10268.1
33,BUY,2024-08-02 14:00:00,2024-08-15 06:00:00,2462.21,2453.62,2352.69,2681.25,0.01,loss,-8.66,10259.44
34,SELL,2024-08-07 09:00:00,2024-08-07 15:00:00,2391.69,2403.65,2403.65,2367.77,0.09,loss,-103.22,10156.22
35,BUY,2024-08-12 14:00:00,2024-08-16 22:00:00,2444.56,2506.6,2413.54,2506.6,0.03,win,202.91,10359.13
36,BUY,2024-08-22 07:00:00,2024-09-04 02:00:00,2504.92,2493.21,2444.98,2624.8,0.02,loss,-23.56,10335.57
37,BUY,2024-08-27 07:00:00,2024-09-09 02:00:00,2510.31,2496.89,2444.98,2640.97,0.02,loss,-26.98,10308.59
38,BUY,2024-08-28 11:00:00,2024-09-10 06:00:00,2511.19,2502.65,2444.98,2643.61,0.02,loss,-17.22,10291.37
39,BUY,2024-08-28 15:00:00,2024-09-10 10:00:00,2503.59,2502.81,2444.98,2620.81,0.02,loss,-1.7,10289.67
40,SELL,2024-09-03 15:00:00,2024-09-05 09:00:00,2490.21,2502.66,2502.66,2465.31,0.08,loss,-103.46,10186.21
41,SELL,2024-09-04 07:00:00,2024-09-05 09:00:00,2492.87,2505.33,2505.33,2467.94,0.08,loss,-102.42,10083.79
42,SELL,2024-09-04 14:00:00,2024-09-04 17:00:00,2486.23,2498.66,2498.66,2461.37,0.08,loss,-101.4,9982.39
43,BUY,2024-09-06 14:00:00,2024-09-19 06:00:00,2519.31,2564.02,2475.48,2606.97,0.02,win,89.28,10071.67
44,BUY,2024-09-10 07:00:00,2024-09-12 15:00:00,2504.81,2530.81,2491.81,2530.81,0.08,win,200.87,10272.54
45,BUY,2024-09-10 14:00:00,2024-09-12 15:00:00,2507.85,2533.85,2494.85,2533.85,0.08,win,204.89,10477.43
46,BUY,2024-09-16 07:00:00,2024-09-26 22:00:00,2588.78,2673.62,2502.22,2761.9,0.01,win,84.77,10562.2
47,BUY,2024-09-17 07:00:00,2024-09-27 22:00:00,2579.9,2652.1,2502.22,2735.26,0.01,win,72.13,10634.33
48,BUY,2024-09-23 13:00:00,2024-10-04 05:00:00,2624.5,2662.05,2502.22,2869.06,0.01,win,37.48,10671.81
49,SELL,2024-10-09 08:00:00,2024-10-10 22:00:00,2616.66,2629.74,2629.74,2590.49,0.08,loss,-107.28,10564.53
50,SELL,2024-10-10 13:00:00,2024-10-10 17:00:00,2614.97,2628.04,2628.04,2588.82,0.08,loss,-106.21,10458.32
51,BUY,2024-10-14 08:00:00,2024-10-24 23:00:00,2661.95,2735.78,2502.22,2981.41,0.01,win,73.76,10532.08
52,BUY,2024-10-14 15:00:00,2024-10-25 07:00:00,2654.38,2725.89,2502.22,2958.7,0.01,win,71.44,10603.52
53,BUY,2024-10-16 07:00:00,2024-10-28 22:00:00,2669.68,2742.5,2502.22,3004.6,0.01,win,72.75,10676.27
54,BUY,2024-10-17 15:00:00,2024-10-30 07:00:00,2683.63,2780.16,2502.22,3046.45,0.01,win,96.46,10772.73
55,BUY,2024-10-23 09:00:00,2024-11-05 01:00:00,2753.51,2736.03,2502.22,3256.09,0.01,loss,-17.55,10755.18
56,BUY,2024-10-25 07:00:00,2024-11-06 22:00:00,2728.89,2660.65,2502.22,3182.23,0.01,loss,-68.31,10686.87
57,BUY,2024-10-29 15:00:00,2024-11-11 07:00:00,2752.11,2669.2,2502.22,3251.89,0.01,loss,-82.98,10603.89
