,signal,entry_time,exit_time,entry_price,exit_price,sl,tp,lot_size,result,pnl,balance_after
201,BUY,2026-01-28 13:00:00,2026-02-10 05:00:00,5264.59,5030.02,4184.54,7424.69,0.01,loss,-234.64,32679.18
202,SELL,2026-02-02 14:00:00,2026-02-13 06:00:00,4791.2,4976.68,5544.16,3285.28,0.01,loss,-185.55,32493.63
203,SELL,2026-02-09 14:00:00,2026-02-20 08:00:00,5010.52,5021.73,5544.16,3943.24,0.01,loss,-11.28,32482.35
204,BUY,2026-02-12 14:00:00,2026-02-25 08:00:00,5055.24,5194.43,4184.54,6796.64,0.01,win,139.12,32621.47
205,SELL,2026-02-17 14:00:00,2026-03-02 06:00:00,4928.2,5356.0,5544.16,3696.28,0.01,loss,-427.87,32193.6
206,SELL,2026-02-18 09:00:00,2026-03-03 01:00:00,4927.82,5345.99,5544.16,3695.14,0.01,loss,-418.24,31775.36
207,BUY,2026-02-20 09:00:00,2026-03-05 01:00:00,5010.6,5166.15,4184.54,6662.72,0.01,win,155.48,31930.84
208,BUY,2026-02-23 13:00:00,2026-03-06 05:00:00,5152.89,5131.11,4184.54,7089.59,0.01,loss,-21.85,31908.99
209,BUY,2026-02-23 15:00:00,2026-03-06 07:00:00,5148.94,5117.42,4184.54,7077.74,0.01,loss,-31.59,31877.4
210,BUY,2026-02-26 13:00:00,2026-03-11 05:00:00,5170.45,5217.3,4184.54,7142.27,0.01,win,46.78,31924.18
211,BUY,2026-03-03 08:00:00,2026-03-13 23:00:00,5311.81,5018.7,4184.54,7566.35,0.01,loss,-293.18,31631.0
212,SELL,2026-03-09 15:00:00,2026-03-19 15:00:00,5092.53,4602.81,5337.39,4602.81,0.01,win,632.55,32263.55
213,BUY,2026-03-12 07:00:00,2026-03-23 09:00:00,5145.61,4184.54,4184.54,7067.75,0.01,loss,-322.71,31940.84
214,SELL,2026-03-13 15:00:00,2026-03-13 17:00:00,5115.28,5089.28,5128.28,5089.28,0.25,win,637.07,32577.91
215,SELL,2026-03-17 07:00:00,2026-03-17 09:00:00,5034.89,5008.89,5047.89,5008.89,0.25,win,649.81,33227.72
216,SELL,2026-03-18 09:00:00,2026-03-18 11:00:00,5006.32,4980.32,5019.32,4980.32,0.26,win,662.73,33890.45
217,SELL,2026-03-20 15:00:00,2026-03-23 09:00:00,4675.46,4224.2,4901.09,4224.2,0.02,win,677.67,34568.12
218,SELL,2026-03-23 07:00:00,2026-04-02 22:00:00,4364.56,4672.26,4901.09,3291.5,0.01,loss,-307.77,34260.35
219,SELL,2026-03-24 13:00:00,2026-04-07 05:00:00,4435.08,4650.47,4901.09,3503.06,0.01,loss,-215.46,34044.89
220,BUY,2026-04-08 13:00:00,2026-04-10 08:00:00,4785.5,4765.88,4652.87,5050.76,0.03,loss,-59.07,33985.82
221,BUY,2026-04-09 15:00:00,2026-04-09 16:00:00,4747.53,4773.53,4734.53,4773.53,0.26,win,677.9,34663.72
